2026-07-14 14:49:17.045 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07CMS5Q6N
2026-07-14 14:49:17.058 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09C13PZX7
2026-07-14 14:49:17.071 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CSP61VR4
2026-07-14 14:49:17.084 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09J1TB35S
2026-07-14 14:49:17.098 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07Y1KKFBH
2026-07-14 14:49:17.111 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BJ6NBYJG
2026-07-14 14:49:17.129 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DPLVFJT6
2026-07-14 14:49:17.153 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FY5M888K
2026-07-14 14:49:17.165 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B094QH5MWN
2026-07-14 14:49:17.179 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B00026IX1K
2026-07-14 14:49:17.192 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D3PNVQWK
2026-07-14 14:49:17.205 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09ZTJRXLV
2026-07-14 14:49:17.220 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09HHHDZZG
2026-07-14 14:49:17.232 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BYD5H31D
2026-07-14 14:49:17.246 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BGKBT1JG
2026-07-14 14:49:17.262 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09N9FR2FH
2026-07-14 14:49:17.280 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FH6N1VPQ
2026-07-14 14:49:17.293 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CW25XR5R
2026-07-14 14:49:17.307 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07YN82X3B
2026-07-14 14:49:17.320 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BX52C4LN
2026-07-14 14:49:17.332 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F21HFMRH
2026-07-14 14:49:17.346 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F21J6JKP
2026-07-14 14:49:17.359 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F21G8HQ2
2026-07-14 14:49:17.372 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B079JLY5M5
2026-07-14 14:49:17.385 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D22FGR8C
2026-07-14 14:49:17.398 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0787D6SGQ
2026-07-14 14:49:17.411 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0H1WM2P8Y
2026-07-14 14:49:17.424 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09H6NDJJH
2026-07-14 14:49:17.437 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09N972T84
2026-07-14 14:49:17.450 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GXYYF4Y4
2026-07-14 14:49:17.463 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BPP8M5JW
2026-07-14 14:49:17.476 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GTRBDG18
2026-07-14 14:49:17.490 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BXLHCF3T
2026-07-14 14:49:17.502 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B094PS5RZQ
2026-07-14 14:49:17.515 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D9N62T62
2026-07-14 14:49:17.529 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07H8TJMX7
2026-07-14 14:49:17.542 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F1MKKKV5
2026-07-14 14:49:17.555 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B083V6FWMM
2026-07-14 14:49:17.569 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B001DHECXA
2026-07-14 14:49:17.582 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0916N2LPZ
2026-07-14 14:49:17.595 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G43GNH66
2026-07-14 14:49:17.608 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FCFZ9HWM
2026-07-14 14:49:17.622 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BX52PCJ5
2026-07-14 14:49:17.635 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DLNB862G
2026-07-14 14:49:17.649 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DCVP49FN
2026-07-14 14:49:17.661 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CJXQVMHL
2026-07-14 14:49:17.675 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09CXQZMHG
2026-07-14 14:49:17.688 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B072FG8LBV
2026-07-14 14:49:17.701 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B086MF8Q52
2026-07-14 14:49:17.715 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BGJT87N2
2026-07-14 14:49:17.729 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FC5V3YVY
2026-07-14 14:49:17.742 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CM5SWRJW
2026-07-14 14:49:17.755 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07KKZB9LM
2026-07-14 14:49:17.769 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GJYW1MKS
2026-07-14 14:49:17.782 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DJH1DPCC
2026-07-14 14:49:17.796 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BMXKR7NH
2026-07-14 14:49:17.808 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DCVMN51Z
2026-07-14 14:49:17.822 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DGL7PX87
2026-07-14 14:49:17.835 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CT4Q7Y2V
2026-07-14 14:49:17.848 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07D34L57F
2026-07-14 14:49:17.862 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09BR46F63
2026-07-14 14:49:17.874 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DQKL7R48
2026-07-14 14:49:17.887 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DPWX3WTL
2026-07-14 14:49:17.900 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DGZLHN8G
2026-07-14 14:49:17.915 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C9ZJHQHM
2026-07-14 14:49:17.928 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B014EUQOGK
2026-07-14 14:49:17.940 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CF3VGQFL
2026-07-14 14:49:17.953 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CQQWHW6V
2026-07-14 14:49:17.966 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G62RXPWG
2026-07-14 14:49:17.979 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CMWK8YGY
2026-07-14 14:49:17.992 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0G1BJ24N2
2026-07-14 14:49:18.006 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DFXV6ZPM
2026-07-14 14:49:18.019 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FLX6H62D
2026-07-14 14:49:18.032 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BKVY4WKT
2026-07-14 14:49:18.045 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B089KV4YYX
2026-07-14 14:49:18.058 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C7QMD44R
2026-07-14 14:49:18.071 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F1F995ZS
2026-07-14 14:49:18.084 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09DKQWTNC
2026-07-14 14:49:18.097 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09LJWWX4Y
2026-07-14 14:49:18.110 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CDX5XGLK
2026-07-14 14:49:18.130 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DL6LV7Q6
2026-07-14 14:49:18.152 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CNT61VMZ
2026-07-14 14:49:18.165 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F1SBFSTL
2026-07-14 14:49:18.178 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B08G1WNS6F
2026-07-14 14:49:18.191 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FKLTZL13
2026-07-14 14:49:18.204 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B08Z6X4NK3
2026-07-14 14:49:18.218 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CQ53BKWT
2026-07-14 14:49:18.230 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C6RK64Z2
2026-07-14 14:49:18.243 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C9DQPTLM
2026-07-14 14:49:18.257 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B00NLZUM36
2026-07-14 14:49:18.277 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07Z1KH3PL
2026-07-14 14:49:18.290 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C8QYB8W6
2026-07-14 14:49:18.302 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0BTNZWYT5
2026-07-14 14:49:18.315 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FLX67G4R
2026-07-14 14:49:18.329 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0F3J45MMK
2026-07-14 14:49:18.342 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GDFTW3QW
2026-07-14 14:49:18.355 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D3LPNN9N
2026-07-14 14:49:18.367 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09LH4KF5H
2026-07-14 14:49:18.381 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CRT3ZYZX
2026-07-14 14:49:18.394 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CQ2MSP2B
2026-07-14 14:49:18.408 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FVXLQB8M
2026-07-14 14:49:18.421 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B08QTXDBJ8
2026-07-14 14:49:18.434 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DKN46FXP
2026-07-14 14:49:18.448 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0837XJRR6
2026-07-14 14:49:18.462 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D6CHTNS9
2026-07-14 14:49:18.474 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CHRBQBLP
2026-07-14 14:49:18.488 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GX5B45FK
2026-07-14 14:49:18.501 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B09BVCVTBC
2026-07-14 14:49:18.515 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DBZGH5XM
2026-07-14 14:49:18.529 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B07QGHK6Q8
2026-07-14 14:49:18.542 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B004N627KS
2026-07-14 14:49:18.556 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0CLH89X2K
2026-07-14 14:49:18.569 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D94QQ7XP
2026-07-14 14:49:18.582 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0GGRR6ZB4
2026-07-14 14:49:18.596 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FDKPF9QJ
2026-07-14 14:49:18.608 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FN73GNTM
2026-07-14 14:49:18.621 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D9NZNLYF
2026-07-14 14:49:18.634 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FJWYKQCR
2026-07-14 14:49:18.648 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0FNMLZTYJ
2026-07-14 14:49:18.662 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C9THQ36P
2026-07-14 14:49:18.674 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0D7H2FXG5
2026-07-14 14:49:18.687 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0C13XFBFJ
2026-07-14 14:49:18.701 | DEBUG    | app.storage.repository:upsert_product:51 | 新增商品: B0DRNHQG82
